						Accept Condition							Refuse Condition							Soften Condition	Harden Condition
15	Diminution de la durée du travail à 30h	Socialist	Comme tout à chacun le sait : l'emploi disparaît. Si nous voulons que tout à chacun puisse y accéder, il nous faut diminuer de la durée du travail à 30h. Peu populaire auprès des patrons, cette mesure sera plutôt bien acceuillie par tous les autres.	0	-1	16	-3	5	-5	8	0	0	-1	3	5	5	0	0	5000	182	349
16	Interdiction des licenciements pour les entreprises en bonne santé	Socialist	Il est innaceptable qu'une entreprise qui réalise des bénéfices puisse renvoyer ses salariés. Peu pénalisante pour l'économie, cette mesure sera plutôt bien acceuillie.	1	15	17	-3	5	-5	5	0	0	-1	3	-5	5	0	0	5000	183	350
17	Week-end de trois jours	Socialist	Malgré tous nos efforts, le chômage reste important : nous devons limiter d'avantage la semaine de travail en lui supprimant un jour, ce fameux lundi que personne n'a jamais aimé.	2	16	18	-3	10	-15	8	3	0	-1	3	-5	5	0	0	5000	184	351
18	Interdiction du travail nocturne	Socialist	Encore un fléau à éliminer !	3	17	19	-3	10	-15	5	0	0	-1	3	-5	5	0	0	5000	185	352
19	Interdiction des licenciements	Socialist	Pourquoi un employeur pourrait-il avoir la légitimité de renvoyer un de ses employés, alors que ceux-ci ne peuvent renvoyer leur patron ? C'est de se constat qu'est né ce projet de loi, qui devrait satisfaire le peuple à défaut d'augementer les embauches	4	18	-1	-11	15	-20	-10	0	0	-1	3	-10	5	0	0	5000	186	353
20	Reconnaissance de la pénibilité du travail	Socialist	Mise en place d'une retraite anticipée pour les métiers à risque (5 ans plus tôt que pour les autres). Une mesure humaine selon les humains, honteuse selon les employeurs.	0	19	-1	-8	5	-5	5	0	0	-1	3	0	5	5	0	5000	187	354
21	Retraite à 60 ans	Socialist	Nos jeunes ne trouvent plus d'emploi, libérons ceux de nos méritants ainés afin d'offrir à tous un moyen de subsister. Une mesure humaine selon les socialistes, honteuse selon les employeurs.	0	-1	22	-8	10	-10	7	0	0	-1	3	-5	5	5	0	5000	188	355
22	Interdiction du travail des seniors	Socialist	Parce qu'il y a un âge où le travail devient trop dur, libérons nos ainés de cette charge. Une mesure humaine selon les communistes, honteuse selon les employeurs.	1	21	23	-11	15	-15	9	0	0	-1	3	0	5	5	5	5000	189	356
23	Interdiction des travaux pénibles	Socialist	À l'heure de la robotisation, pourquoi devrait-on encore laisser de telles tâches au hommes ?	2	22	24	-11	17	-20	12	0	0	-1	3	0	5	5	0	4000	190	357
24	Interdiction du travail	Socialist	Les robots n'ont qu'à le faire à notre place ...	3	23	-1	-13	25	-25	-20	0	0	-1	7	-5	5	5	0	10000	191	358
25	Revalorisation des allocations chômage	Socialist	À une heure où la pauvreté ne cesse de grandir dans notre pays, revaloriser les allocations chômages est une nécessité. Globalement négative pour les chiffres du chômage, cette mesure devrait au moins avoir un effet positif pour ceux à qui elle est destinée.	0	-1	26	-8	10	-5	-10	0	0	-1	7	-5	5	5	0	5000	192	359
26	Revenu universel	Socialist	Utopie socialiste, le revenu universel est l'évolution logique des allocations chômages, permettant aux étudiants et aux originaux de s'en aller à leur besogne le ventre plein sans la distraction du confort.	1	25	27	-11	15	-10	-15	0	0	-1	0	-7	5	5	0	8000	193	360
27	Revenu universel revalorisé	Socialist	Dans un monde où l'emploi disparaît, laissons les emplois restant aux quelques fous assez motivés pour les occuper !	2	26	-1	-11	17	-10	-20	0	0	-1	3	-10	5	5	0	10000	194	361
28	Plan d'embauche de 100 000 fonctionnaires	Socialist	Les queues se multiplient dans les administrations, les classes sont en sureffectifs, ... Rien ne va plus ! Recrutons 100 000 fonctionnaires pour sauver la fonction publique ! Le privé n'aimera pas, mais tant pis pour lui !	0	-1	29	-8	5	-5	5	0	0	-1	-3	-5	0	0	0	5000	195	362
29	Renationalisation des entreprises privatisées par les précédents gouvernements	Socialist	Les précédants gouvernements ont revendu de véritables fleurons nationnaux à des sociétés privées qui ont su les rendre rentables, investissont et rachetons-les !	1	28	30	-8	5	-10	7	0	0	-1	-7	-3	0	0	0	5000	196	363
30	Plan d'embauche de 1 000 000 fonctionnaires	Socialist	Un pays bien géré passe par une administration de premier plan : avec un 1 000 000 fonctionnaires supplémentaires, nous devrions enfin statistiquement pouvoir en trouver quelques uns qui travaillent !	2	29	-1	-11	10	-15	8	0	0	-1	-8	-7	0	0	0	5000	197	364
31	Nationalisation d'entreprises clés	Socialist	Certains secteurs clés de notre économies ne saurait être laissés sur le libre marché, en les nationalisant, nous nous assurerons qu'ils restent sous pavillon français.	2	29	30	-13	15	-20	10	0	0	-1	-16	-7	5	5	0	10000	198	365
32	Nationalisation du secteur privé	Socialist	Le marché libre est une abération qui doit être bouttée hors du sol français ... Les entrepreneurs n'aimerons pas, mais ils n'ont plus d'importance à nos yeux.	3	31	31	-23	15	-25	12	0	0	-1	-16	-7	10	5	0	20000	199	366
33	Droit de conscience sur le travail dominical et les jours de fêtes	Religious	Dans un pays laïque comme le notre, nous ne saurions imposer les fêtes catholiques. Néanmoins, il semble normal de permettre à ceux qui le souhaite de pouvoir exercer un droit de conscience sur le travail dominical et les jours de fêtes.	0	-1	34	0	5	-5	2	12	5000	-1	7	-5	0	3	-5	1000	200	367
34	Interdiction du travail les jours de fêtes	Religious	Certains employeurs exercant des pressions sur les fidèles qui refusent de travailler les jours de fêtes, l'interdiction générale du travail les jours de fêtes devrait permettre d'y remédier	1	33	35	0	5	-5	-5	12	5000	-1	7	-3	0	3	-5	1000	201	368
35	Interdiction du travail dominical (sauf pour les métiers de première nécessité)	Religious	Certains employeurs exercant des pressions sur les fidèles qui refusent de travailler le dimanche, l'interdiction générale du travail dominical devrait suffire, exception faîte des métiers de première nécessité tels que ceux de la Santé.	1	34	36	0	10	-10	-5	20	5000	-1	7	0	0	3	-8	1000	202	369
36	Interdiction absolue du travail dominical	Religious	Le Seigneur se reposa le septième jour, comment pourrions-nous le demander à notre prochain. Nous n'aurons peut-être pas d'électricité ce jour là, mais le Seigneur sera avec nous !	2	35	37	0	10	-15	-5	20	5000	-1	7	0	0	3	-8	1000	203	370
37	Obligation de présence à la messe le dimanche	Religious	Certains infidèles osent ne pas venir à la messe le dimanche malgré l'interdiction du travail ce jour là, créons des milices citoyennes pour les y conduire !	2	36	-1	0	-15	0	-5	17	10000	-1	3	10	0	3	-8	1000	204	371
38	Adaptation des menus des restaurants d'entreprises lors du carême	Religious	Et puis admettons-le, c'est aussi un bon moyen de maigrir avant l'été ...	0	-1	39	0	5	-5	0	12	1000	-1	-3	0	0	0	-5	3000	205	372
39	Prières obligatoires sur le lieu de travail	Religious	Bonne pour le morales des fidèles, celles-ci seront assez impopulaire pour les autres.	1	38	40	0	-10	-5	0	12	4000	-1	-3	5	0	-5	-8	3000	206	373
40	Présence d'un prêtre du travail obligatoire	Religious	Utile si jamais les employés ont besoins de se confesser sur leurs mauvais chiffres hebdomadaires, il pourra également venir pratiquer l'onction extrême si nécessaire.	2	39	41	0	5	-10	5	12	5000	-1	-3	5	5	-5	-8	3000	207	374
41	Baptême obligatoire pour embauche	Religious	Un bon chrétien saura être fidèle à son seigneur.	2	39	42	0	-10	-15	0	20	10000	-1	-3	20	0	-5	-13	3000	208	375
42	Bénédiction quotidienne de la production par le prêtre du travail	Religious	Garantie sans mauvais esprit.	2	40	-1	0	-10	-20	5	17	10000	-1	-3	15	0	0	-13	3000	209	376
43	Statut d'agent de l'Etat non-rémunéré pour les prêtres	Religious	Comme au bon vieux temps. Les croyant apprécieront, là où les impies resteront dans leur ignorance.	0	-1	44	0	5	0	1	12	5000	-1	-7	-5	-5	0	-8	0	210	377
44	Statut de fonctionnaire rémunéré pour les prêtres	Religious	Un bon moyen de lutter contre le chômage tout en satisfaisant les fidèles, mais un scandale pour les autres	1	43	45	-8	5	0	5	12	5000	-1	-3	-5	-5	0	-8	0	211	378
45	Revalorisation salariale de la prêtrise (création d'un barème de rémunération)	Religious	Car notre prêtre ne doivent pas avoir à se soucier des basses nécessitudes de la vie, rémunérons les confortablement.	2	44	46	-8	5	0	2	12	10000	-1	-3	-5	-5	0	-8	0	212	379
46	Plan d'embauche de 100 000 prêtres	Religious	Un prêtre pour 500 habitants, c'est bien le minimum que nous puissions faire.	2	44	47	-8	5	0	7	20	25000	-1	-3	-5	-5	0	-13	0	213	380
47	Obligation pour les aînés de rentrer dans les ordres	Religious	Face au manque de vocation, provoquons le destin ... Ce que nous leur prenons, le Seigneur le leur rendra.	3	45		0	5	0	8	17	25000	-1	-3	-5	-5	0	-13	0	214	381
48	Campagne de recrutement pour l'Armée de Terre	Militarist	Grande campagne publicitaire, des milliers de postes à pourvoir, ... Cela devrait accroitre la force de frappe gouvernementale tout en abaissant le chômage. Le peuple n'aime pas la guerre, nous ne comprenons pas bien pourquoi ...	0		49	3	-5	0	0	0	3000	-1	-3	0	0	-5	-5	0	215	382
49	Renforcement des budgets militaires	Militarist	Il devrait relancer notre économie, créer des embauches, ... Comment le peuple ne peut-il pas voir que la guerre est une chance pour lui ?	1	48	51	3	-5	10	5	0	4000	-1	-7	5	-5	-5	-8	0	216	383
50	Mobilisation de 500 000 hommes	Militarist	Ils partiront 500 000, et reviendront probablement moins nombreux mais courronés de gloire ! Leurs parents nous détesterons, mais quelle opportunité pour abaisser le chômage !	2	49	52	11	-10	5	5	0	5000	-1	-7	10	5	-5	-8	0	217	384
51	Taxe sur l'Effort de Guerre	Militarist	Notre économies et nos citoyens doivent soutenir ceux qui défendent la France à travers le Monde, pour pallier à l'augmentation des dépenses miliaires, cette taxe est un impératif absolu !	1	48	50	13	-10	15	0	0	8000	-1	-7	10	5	0	-8	0	218	385
52	Loi Martiale permanente	Militarist	L'ennemi est partout autour de nous, voire infiltré parmis nous. Nos concitoyens sont en danger, c'est donc la mort dans l'âme que nous vous implorons de bien vouloir nous laisser mettre en oeuvre une loi martiale permanente ... Mais soyez assurés que notre détermination n'a jamais été plus grande.	3	50		23	-17	30	12	3	0	-1	-7	20	5	-10	-8	10000	219	386
53	Création d'une autorité de contrôle des discriminations à l'embauche	Liberals	Mise en place de contrôles aléatoire sur les entrerprises soupsonnées de discriminations à l'embauche. Globalement appréciée, les employeurs font valoir une augmentation du coût de recrutement au vu de l'examen drastique auquel ils sont contraints.	0		54	0	5	-5	5	0	1000	-1	3	0	0	-5	0	0	220	387
54	CV anonymisé obligatoire	Liberals	Les entrerprises de plus de 10 salariés vont devoir pratiquer à l'anonymisation des CV, pour éviter que l'origine des candidats ne les influencent dans leur choix. Globalement appréciée, les employeurs font valoir une augmentation du coût de recrutement.	1	53	55	0	5	-5	5	0	1000	-1	3	0	0	-5	0	0	221	388
55	Quotas d'employés issus de minorités	Liberals	Critiqués pour leur propention à récriminer la discrimination en la pratiquant, ils sont néanmoins utiles pour insérer massivement des minorités mise sur le côté. On ne connaît pas leurs effets à moyen terme.	2	54	56	0	10	-10	10	0	0	-1	3	5	0	-5	0	8000	222	389
56	Peines de prison pour discriminations à l'embauche	Liberals	Radical, l'emprisonnement des fautifs de dicrimination à l'embauche devrait grandement réduire le phénomène.	3	55		-3	15	-15	5	0	0	-1	0	10	0	-5	0	25000	223	390
57	Reconnaissance du Burn-out comme maladie professionnelle	Liberals	Un des fléau de ce siècle. Le peuple vous remerciera, les employeurs seront plus sceptiques.	0		58	0	5	-5	5	0	0	-1	0	-5	5	10	-5	4000	224	391
58	Taxe anti Burn-out	Liberals	On taxe bien le tabac, pourquoi pas les mauvais employeurs. Le peuple vous remerciera, les employeurs grogneront.	1	57	59	0	10	-10	8	0	0	-1	0	-5	5	10	-5	4000	225	392
59	Pénalisation du Burn-out pour l'employeur	Liberals	Reconnaitre le Burn-out comme un crime permettra de juger les employeurs coupables comme tel. Le peuple vous remerciera, les employeurs hurleront en privé de peur d'avoir un procès.	2	58	60	0	15	-15	3	0	0	-1	0	-8	5	10	0	8000	226	393
60	Peines de prison pour cadre de travail inhumain	Liberals	Tuer est un crime, le dirigeant d'Orange sont donc coupables. Le peuple vous remerciera, les employeurs grogneront mais derrière les barreaux pour certains.	3	59		0	17	-20	5	0	0	-1	0	-7	5	15	0	8000	227	394
61	Défiscalisation des heures supplémentaires	Liberals	Travailler plus pour gagner plus !	0		62	-3	10	5	-5	0	10000	-1	3	-2	-5	5	0	1000	228	395
62	Suppressions des charges patronales	Liberals	Avec moins de charges, les employeurs vont enfin pouvoir recruter (ou augmenter les dividendes).	1	61	63	-11	10	5	3	0	10000	-1	8	-8	-5	-10	0	1000	229	396
63	Suppression des minimums salariaux	Liberals	Une contrainte de moins pour un pays plus compétitif. Le peuple vous détestera, mais vous lui aurez rendu service.	1	62	64	0	-15	10	5	0	25000	-1	0	15	-6	-15	0	1000	230	397
64	Légalisation des stages gratuits	Liberals	Car apprendre est la plus grande des récompenses.	2	63	65	0	-15	15	5	-3	40000	-1	0	15	-12	-20	0	1000	231	398
65	Légalisation du travail gratuit	Liberals	Pour enfin être plus compétitif que le Bengladesh !	3	64		0	-17	25	0	-3	50000	-1	0	20	-17	-25	0	1000	232	399
66	Réduction de l'imposition sur le bénéfice	Liberals	Car nous ne saurions voler le pain à la bouche des actionnaires.	0		67	-3	0	5	0	0	10000	-1	3	-4	0	-5	0	0	233	400
67	Suppression de l'impôt sur les sociétés	Liberals	Pas la peine de les imposer, elles ont déjà financé notre campagne.	1	66	68	-8	0	10	0	0	10000	-1	7	-5	0	-5	0	0	234	401
68	Suppression de la TVA	Liberals	Elle devrait faire du bien à tout le monde, mais pas à nos revenus.	2	67	69	-13	15	20	0	0	15000	-1	16	-15	0	-5	0	0	235	402
69	Suppression de la notion d'Impôts	Liberals	Position difficilement tenable, nous devrions néanmoins survivre en nous en tenant aux fonctions régaliennes.	3	68		-33	15	-35	0	0	40000	-1	16	-17	0	-5	0	0	236	403
70	TVA augmentée sur les produits de luxe	Socialist	De toute façon on se les fait offrir les costumes ...	0		71	3	-5	-5	0	0	2000	-1	3	-7	5	0	0	10000	237	404
71	Augmentation de l'impôt sur la fortune	Socialist	Les vrais ne le paient pas de toute façon ...	1	70	72	8	-10	-5	0	0	0	-1	8	-5	5	0	0	20000	238	405
72	Augmentation de l'impôt successoral (jusqu'à 80 % par paliers)	Socialist	Augmentation de l'impôt successoral jusqu'à 80 % par paliers de revenus. Assez impopulaire, vous pourrez cependant pouvoir y échapper en diversifiant aux Îles Caïman ...	2	71	73	11	-15	0	0	0	0	-1	8	-6	5	0	0	30000	239	406
73	Limitation du capital privé	Socialist	Plafonnement de la fortune individuelle à 500 000 (pensez vite à faire sortir l'argent du pays si ce n'est pas déjà fait)	3	72	74	13	-17	-15	0	0	0	-1	8	-7	7	5	0	50000	240	407
74	Interdiction de la propriété privée	Socialist	Sauf pour les sages du conseil, cela va de soit.	4	73		17	-30	-25	0	0	0	-1	8	20	7	5	0	100000	241	408
75	Participation obligatoire des employés dans leur entreprise	Socialist	Obtention systématique et obligatoire d'action de la société à ses employés, quelle que soit sa taille.	0		75	0	10	5	0	0	0	-1	7	-4	3	5	0	3000	242	409
76	Actions à prix réduits pour les employés	Socialist	Tous les ans, dans le cadre de la distribution d'actions, les employés devront pouvoir obtenir quelques actions à moitié prix. Les patrons vont détester.	1	75	76	0	15	-5	0	0	0	-1	7	-5	8	5	0	3000	243	410
77	Collectivisation des moyens de productions pour les employés	Socialist	L'Internationnale sera le genre humain.	2	76	77	8	17	15	10	0	0	-1	8	-6	8	0	0	3000	244	411
78	Nationalisation des moyens de productions	Socialist	Prochaine étape : la dékoulakisation !	3	77	78	23	-10	25	5	0	0	-1	8	-7	8	20	0	50000	245	412
79	Taxation des importations issue d'un commerce non-équitable	Socialist	Car la France doit éclairer le monde de ses Lumières. Une mesure protectionniste efficace dont l'effet sera une hausse des prix.	0		80	8	-10	15	5	3	1000	-1	-8	20	10	5	0	6000	246	413
80	Interdiction des importations issue d'un commerce non-équitable	Socialist	Parce que finalement, c'est trop compliqué à gérer. Une mesure protectionniste efficace dont l'effet sera une forte hausse des prix, voire la disparition de certains produits.	1	79		-8	-15	25	14	3	1000	-1	-8	30	10	0	0	8000	247	414
81	Taxation des importations étrangères	Militarist	Aliexpress va devenir plus cher ... ou pas.	0			8	10	10	5	0	1000	-1	-7	-10	-10	-5	0	4000	248	415
82	Préférence nationale pour les marchés publics	Militarist	Une mesure protectionniste bonne pour le marché nationnale, mais qui augmente nos dépenses.	0	81	83	0	10	10	9	0	2000	-1	0	-10	-10	-10	0	4000	249	416
83	Limitations des importations	Militarist	Ca commence à devenir chaud d'acheter chinois	1	82	84	-3	10	10	12	0	2000	-1	-8	-10	-10	-15	0	4000	250	417
84	Interdiction des importations	Militarist	De toute façon, les téléphones Samsung n'arrêtent pas d'exploser ... ça ne serait jamais arrivé avec un Alcatel !	2	83		-3	-17	20	14	0	0	-1	-8	20	-20	-20	0	4000	251	418
85	Subventions aux énergies renouvelables	Ecologist	Investissement d'avenir, générateur d'emploi, ... Mais pas gratuit pour l'État !	0		86	-3	5	10	5	0	0	-1	3	-15	5	7	5	5000	252	419
86	Taxe aux énergies fossiles	Ecologist	Rémunérateur pour nous, mais tout le monde va détester !	1	85	87	3	-5	-5	-5	0	0	-1	7	-15	9	7	5	6000	253	420
87	Taxe carbone	Ecologist	Rémunérateur pour nous, mais tout le monde va détester !	2	86	88	8	-10	-10	-5	0	0	-1	8	-20	6	7	5	4000	254	421
88	Sortie du Nucléaire	Ecologist	Couteux, mais terreau propice à l'emploi.	3	87	89	-8	10	0	4	0	0	-1	8	-20	17	8	5	4000	255	422
89	Tout renouvelable	Ecologist	Une formidable opportunitée pour l'emploi.	4	88		-8	17	0	5	0	0	-1	8	-20	17	8	5	80000	256	423
90	Classe bilingues	Liberals	Vues comme élitistes par certains, les libéraux y voient une nécessité.	0		91	-3	5	5	0	3	1000	-1	7	-10	5	-5	0	0	257	424
91	Classe de 6ème option Médecine Nucléaire	Liberals	L'élite de demain se prépare aujourd'hui (même s'il y a un risque pour l'égalité des chances)	1	90	92	-3	10	5	0	3	10000	-1	7	0	5	-5	0	0	258	425
92	Subvention des lycées privés	Liberals	Nos enfants méritent ce qu'il y a de meilleur, les votres devront se contenter du reste.	1	91	93	-8	5	5	-5	3	25000	-1	7	-5	5	5	0	0	259	426
93	Privatisation de l'enseignement secondaire	Liberals	Les libéraux applaudiront, le peuple voudra notre peau à moins tant qu'il ne sera pas encore ignorant	2	92	94	11	-10	15	-10	3	40000	-1	8	-10	10	5	0	0	260	427
94	Privatisation de l'enseignement supérieur	Liberals	Pour des chercheurs qui trouvent enfin !	3	93		23	-17	20	-12	3	50000	-1	8	-20	13	5	0	0	261	428
95	Enseignement du créationnisme	Religious	Nos enfants ne peuvent ignorer les deux théories principales sur la question si nous voulons qu'ils puissent choisir. Le peuple appréciera peu globalement, les religieux seront ravis	0		96	0	-10	0	0	8	25000	-1	3	5	0	0	-12	0	262	429
96	Interdiction de l'enseignement de la théorie de l'évolution	Religious	Car il y avait des dinosaures au jardin d'Eden.	1	95		0	-15	0	0	12	4000	-1	3	5	0	0	-15	0	263	430
97	Prière scolaire obligatoire	Religious	Les jeunes aimeront, ça fait perdre quelques minutes de cours.	0	96	98	0	-17	0	0	20	4000	-1	3	5	0	0	-35	0	264	431
98	Enseignement par les moines	Religious	Ils ont su si bien le faire pendant des siècles, laissons-leur cette charge.	1	97		0	-25	0	0	17	50000	-1	3	15	0	0	-35	0	265	432
99	Enseignement optionnel du Latin	Religious	Car la France est un pays de culture latine. Les opposants à cette mesure feront valoir son élitisme, les catholiques apprécieront de pouvoir comprendre trois mots à la messe en latin.	0		100	-3	10	0	0	3	4000	-1	-3	-5	0	5	-5	8000	266	433
100	Enseignement obligatoire du Latin	Religious	Cette fois-ci, l'égalité des chances est parfaite, mais le problème est peut-être ailleurs.	1	99	101	-3	-5	0	0	8	4000	-1	3	5	0	5	-5	10000	267	434
101	Etudes bibliques en latin obligatoire	Religious	Sans considérer la question religieuse, cet ouvrage fondateur de la civilisation occidentale saura délivrer une connaissance à ceux qui sauront lire entre les lignes. Les autres seront parfaitement blasés ou enthousiastes selon leur foi.	2	100		-3	-9	0	0	12	4000	-1	3	5	0	5	-13	8000	268	435
102	Messe en latin obligatoire à l'école	Religious	Si possible à la place du Sport.	2	101	103	-3	-15	0	0	20	4000	-1	3	5	0	0	-13	4000	269	436
103	Confessions en latin obligatoires avant les cours	Religious	Un temps de receuillement indispensable au bien être de nos chères têtes blondes.	3	102		-3	-19	0	0	17	8000	-1	3	10	0	0	-12	6000	270	437
104	Service civique obligatoire	Militarist	Un juste retour sur notre investissement dans la jeunesse, de plus les jeunes en service civique ne sont pas comptés dans les chiffres du chômage.	0		105	8	-8	-5	0	0	5000	-1	-3	5	5	0	5	0	271	438
105	Service militaire obligatoire (6 mois)	Militarist	Idéal pour apprendre les vrais valeurs à la jeunesse, certains risquent de ne pas apprécier	1	104	106	8	-8	-5	0	0	5000	-1	-7	10	5	0	5	0	272	439
106	Service militaire obligatoire (2 ans)	Militarist	Le devoir de tout citoyen.	2	105	107	11	-12	-5	0	0	10000	-1	-7	10	5	0	5	0	273	440
107	Conscription volontaire	Militarist	Enrollement volontaire de tout citoyen de bonne volonté	2	106	108	13	-15	-5	0	0	10000	-1	-7	20	10	5	5	0	274	441
108	Conscription forcée	Militarist	Enrollement forcé de tout citoyen, pour la vie, car nous sommes tous éternellement redevables à la nation.	3	107		23	-19	-5	0	3	30000	-1	-7	30	10	5	5	0	275	442
109	Revalorisation du montant des bourses universitaires	Socialist	Augmente l'égalité des chances, mais pèse sur nos dépenses.	0		110	-11	15	10	8	0	1000	-1	8	-15	-10	-10	-10	5000	276	443
110	Gratuité de l'Enseignement Supérieur pour tous	Socialist	Supprime l'inégalité des chances, mais pèse lourdement sur nos dépenses.	1	109		-23	25	15	5	0	1000	-1	16	-25	-15	-20	-12	8000	277	444
111	Enseignement du tri sélectif	Ecologist	Sensibilisation de la jeunesse au dévelopement durable, dans l'espoir qu'ils éduquent leurs parents. Bon pour le marché du recyclage.	0		112	-8	10	10	5	0	1000	-1	7	-10	-10	-5	0	10000	278	445
112	Bourses d'études pour les énergies renouvelables	Ecologist	Bon pour tout le monde, sauf les dépenses publiques.	1	111		-13	17	25	6	0	2000	-1	16	-20	-25	-15	0	10000	279	446
113	Revalorisation des aides à la création d'entreprise	Liberals	Permet à l'économie de se développer au dépend des dépenses publiques.	0		114	-8	-2	10	5	0	2000	-1	7	-5	-10	-5	0	10000	280	447
114	Défiscalisation des jeunes entreprises	Liberals	Permet à l'économie de se développer fortement au dépend de lourdes dépenses publiques.	1	113	115	-11	-2	15	5	0	2000	-1	8	-5	-15	-5	0	10000	281	448
